student_id,age,gender,branch,year,cgpa,attendance,backlogs,internships,projects,certifications,coding_problems,python,sql,java,dsa,machine_learning,power_bi,excel,communication_score,aptitude_score,placement
STU1019,20,Male,Electrical Eng,4,8.1,82.4,0,3,3,1,104,1,1,0,0,0,1,1,74.7,45.4,1
STU1020,21,Male,Electronics & Comm,4,9.22,71.5,0,1,1,1,28,1,0,1,1,1,0,1,100.0,48.8,1
STU1021,20,Male,Electrical Eng,4,8.05,58.9,1,2,2,5,43,1,1,0,1,0,0,1,70.7,59.8,1
STU1022,20,Male,Civil Eng,4,6.83,75.8,0,3,1,3,0,0,1,0,0,0,1,0,60.6,81.1,1
STU1023,20,Male,Electrical Eng,4,5.82,64.4,3,1,2,0,34,0,0,1,0,0,0,1,58.1,57.4,0
STU1024,21,Male,Electronics & Comm,4,6.37,80.0,4,0,4,0,26,1,1,1,1,0,0,1,66.8,68.9,0
STU1025,21,Male,Information Technology,4,7.68,66.1,0,0,3,1,76,1,1,1,1,1,0,0,69.6,81.9,1
STU1026,20,Female,Computer Science,4,6.88,73.1,0,1,1,1,65,1,1,1,1,1,1,0,68.8,70.7,1
STU1027,21,Female,Civil Eng,3,7.81,79.8,1,0,2,2,64,1,1,1,0,1,1,1,45.9,94.6,1
STU1028,21,Female,Information Technology,4,6.99,75.9,0,3,2,4,267,1,1,0,1,0,0,1,36.3,66.0,1
STU1029,19,Male,Computer Science,3,6.44,80.5,0,1,0,1,87,1,1,0,0,1,0,1,54.4,62.6,1
STU1030,21,Male,Electronics & Comm,4,6.31,84.8,1,1,2,1,48,1,1,0,1,0,0,1,68.8,59.3,1
STU1031,20,Female,Computer Science,4,9.32,66.4,1,1,1,1,44,1,1,1,1,0,1,1,68.9,94.9,1
STU1032,19,Male,Electronics & Comm,4,8.58,77.4,0,1,2,0,11,1,1,0,0,1,0,1,74.4,83.3,1
STU1033,22,Male,Electronics & Comm,3,9.5,50.0,0,1,3,6,87,1,1,1,0,1,0,0,73.1,43.1,1
STU1034,22,Male,Information Technology,4,8.19,80.5,0,0,1,0,191,1,1,1,1,1,1,1,61.0,96.7,1
STU1035,21,Male,Mechanical Eng,4,7.13,75.0,0,1,1,1,2,1,1,0,0,0,1,1,53.7,72.5,1
STU1036,20,Male,Computer Science,3,9.06,68.2,0,2,1,0,28,1,0,1,1,1,1,0,75.3,66.9,1
STU1037,19,Male,Information Technology,3,7.56,81.2,0,1,5,2,14,1,1,1,0,0,0,1,71.2,72.8,1
STU1038,21,Female,Electronics & Comm,4,7.84,89.7,1,1,3,6,72,1,0,0,0,1,0,1,52.7,50.6,0
STU1039,20,Male,Electronics & Comm,4,7.55,73.2,1,0,0,0,147,1,0,0,1,0,0,1,76.7,68.0,1
STU1040,20,Male,Electrical Eng,3,5.0,68.6,3,2,2,2,56,0,1,0,0,0,0,1,81.4,60.4,0
STU1041,21,Female,Information Technology,4,9.37,79.7,0,3,1,0,9,1,1,1,1,0,0,1,79.1,59.6,1
STU1042,19,Male,Electronics & Comm,4,8.14,64.6,0,1,2,3,117,1,1,1,1,0,1,1,81.5,79.4,1
STU1043,22,Male,Computer Science,4,7.96,71.4,0,1,2,3,29,1,1,1,0,0,1,1,57.5,61.0,1
STU1044,20,Female,Civil Eng,4,7.53,90.2,0,1,5,3,17,0,0,0,1,0,1,0,79.9,66.5,1
STU1045,21,Male,Information Technology,4,7.78,78.6,0,1,1,2,123,1,1,1,1,0,1,1,65.8,69.9,1
STU1046,20,Male,Electrical Eng,4,6.94,59.2,0,2,2,5,67,1,0,0,0,1,0,0,96.6,79.2,1
STU1047,21,Male,Computer Science,4,8.28,60.0,0,0,3,2,1,1,1,0,0,0,1,1,80.5,84.0,1
STU1048,21,Male,Computer Science,3,6.16,79.6,1,1,3,2,95,1,0,1,1,0,0,1,74.0,65.2,0
STU1049,20,Female,Information Technology,3,7.8,86.6,2,0,2,3,90,1,1,1,1,1,0,1,92.0,59.3,1
STU1050,22,Female,Mechanical Eng,4,8.22,61.8,0,0,3,2,91,1,0,0,1,0,0,0,60.9,93.6,1
STU1051,21,Male,Electronics & Comm,4,7.38,82.5,2,1,1,1,2,0,1,1,0,0,0,1,75.7,26.3,0
STU1052,22,Female,Civil Eng,4,8.01,91.3,5,0,2,1,61,1,1,0,1,1,1,0,99.3,78.0,1
STU1053,22,Male,Information Technology,4,6.51,96.9,0,1,4,0,38,1,0,0,0,1,0,1,79.4,62.8,1
STU1054,21,Male,Information Technology,4,6.54,81.3,0,0,5,2,24,1,1,1,1,1,0,0,70.1,73.6,1
STU1055,22,Female,Computer Science,4,7.86,83.1,1,1,3,2,33,1,1,0,1,0,1,1,64.2,65.6,1
STU1056,19,Male,Electrical Eng,3,8.35,56.7,0,0,2,0,22,1,1,0,1,0,1,1,54.4,84.2,1
STU1057,20,Male,Computer Science,4,5.54,99.0,1,2,3,3,22,1,0,0,1,1,0,0,63.9,71.3,1
STU1058,19,Male,Mechanical Eng,3,8.17,72.2,1,1,0,5,105,1,0,1,0,0,0,1,56.5,43.7,1
STU1059,20,Male,Mechanical Eng,4,7.0,68.7,0,3,1,1,27,0,1,0,0,0,1,0,64.8,43.0,1
STU1060,20,Male,Civil Eng,3,7.39,75.4,0,3,3,1,72,1,1,1,0,1,1,1,66.5,61.8,1
STU1061,20,Female,Electronics & Comm,4,6.13,93.1,2,0,1,5,53,1,0,0,1,0,1,0,81.8,74.1,1
STU1062,21,Male,Electronics & Comm,3,6.66,100.0,0,0,5,3,16,1,0,1,1,0,0,1,62.3,84.6,1
STU1063,20,Male,Electrical Eng,3,8.66,79.3,0,1,2,0,35,0,0,1,0,0,0,1,59.6,55.0,1
STU1064,20,Male,Computer Science,3,7.64,88.0,0,1,2,2,41,1,0,0,0,1,1,1,80.4,31.8,1
STU1065,21,Female,Electronics & Comm,4,7.18,78.4,0,0,3,3,1,0,1,0,0,0,0,0,77.8,71.5,0
STU1066,20,Female,Computer Science,4,7.47,67.6,0,0,3,2,118,1,0,0,0,1,0,1,64.6,65.6,1
STU1067,21,Female,Information Technology,4,8.14,92.8,1,1,2,2,25,0,1,1,0,1,0,1,76.4,67.1,1
STU1068,19,Female,Computer Science,4,8.08,71.8,0,3,1,2,41,1,1,0,1,0,1,1,64.3,48.5,1
STU1069,23,Female,Computer Science,4,7.52,93.4,0,2,3,4,10,1,1,1,1,0,1,0,65.0,82.9,1
STU1070,21,Male,Information Technology,4,8.8,91.0,0,0,2,1,300,1,1,1,1,1,0,1,89.8,52.8,1
STU1071,20,Male,Information Technology,4,8.67,84.1,0,1,1,3,8,0,1,1,0,0,0,1,66.1,69.6,1
STU1072,19,Female,Electronics & Comm,3,8.05,96.3,0,0,2,9,21,0,0,1,0,0,0,1,62.3,69.1,1
STU1073,21,Other,Computer Science,4,7.66,100.0,0,1,0,1,59,1,0,1,1,0,0,1,68.3,73.2,1
STU1074,21,Female,Electronics & Comm,4,8.32,76.2,0,2,5,4,6,1,0,0,0,0,1,1,40.5,53.8,1
STU1075,21,Male,Computer Science,4,7.95,69.9,0,2,2,1,40,1,1,1,1,0,0,1,65.6,51.1,1
STU1076,21,Male,Electronics & Comm,4,8.77,59.4,0,1,6,1,37,1,1,0,1,0,0,0,71.6,77.8,1
STU1077,19,Male,Electronics & Comm,4,8.59,100.0,1,0,2,6,6,1,1,0,0,0,1,1,95.7,73.3,1
STU1078,20,Female,Electronics & Comm,3,6.48,73.6,3,1,5,0,2,1,0,1,1,0,0,0,69.3,70.0,1
STU1079,20,Male,Electrical Eng,4,6.41,89.4,2,3,1,1,1,1,1,1,0,1,1,1,74.1,81.9,1
STU1080,22,Male,Information Technology,4,6.83,70.6,0,0,0,2,1,1,1,0,1,0,1,1,72.9,70.1,1
STU1081,21,Female,Electrical Eng,4,8.67,93.4,1,0,0,2,8,1,1,1,1,0,0,1,99.8,59.4,1
STU1082,20,Male,Information Technology,4,5.87,71.0,4,2,2,3,159,1,0,1,0,1,0,0,82.0,72.8,1
STU1083,19,Female,Information Technology,4,8.03,66.1,0,2,0,1,250,1,1,1,0,0,0,1,47.7,71.8,1
STU1084,20,Male,Electronics & Comm,4,8.0,75.9,0,3,2,0,16,1,0,0,0,0,0,1,85.2,72.1,1
STU1085,20,Male,Computer Science,3,8.88,72.7,1,1,2,1,190,1,1,1,1,0,1,0,54.8,51.8,1
STU1086,21,Male,Electronics & Comm,3,7.8,84.0,0,1,2,2,28,1,1,1,0,1,1,1,58.8,50.3,1
STU1087,21,Female,Electronics & Comm,4,6.12,77.5,1,1,2,2,4,0,0,0,0,0,0,1,49.8,78.2,0
STU1088,22,Male,Information Technology,4,6.54,84.3,0,3,1,2,34,1,1,1,0,1,1,1,93.5,62.8,1
STU1089,21,Male,Computer Science,3,6.3,75.1,2,2,3,2,10,1,0,1,0,1,0,1,84.6,35.9,1
STU1090,20,Female,Computer Science,4,7.01,71.3,0,2,2,1,118,1,1,0,0,1,0,1,85.2,44.4,1
STU1091,21,Male,Civil Eng,4,7.4,72.2,2,0,4,3,12,1,1,0,1,1,0,1,82.5,45.2,0
STU1092,21,Female,Electronics & Comm,4,6.32,98.4,2,2,2,0,7,1,1,1,0,1,1,1,77.7,81.0,1
STU1093,21,Female,Computer Science,3,9.22,80.3,0,1,6,1,134,1,0,1,1,1,0,0,63.5,64.3,1
STU1094,21,Male,Information Technology,4,6.14,58.2,2,0,2,3,212,1,0,0,1,0,0,1,70.9,65.5,1
STU1095,21,Female,Electronics & Comm,4,9.08,72.8,0,0,5,1,21,0,1,0,0,1,1,1,60.8,59.7,1
STU1096,21,Male,Mechanical Eng,4,8.9,79.0,0,1,0,2,30,0,1,0,1,0,0,1,56.1,49.1,1
STU1097,20,Female,Computer Science,4,8.59,96.5,0,1,3,1,81,1,1,0,0,0,1,1,59.0,76.4,1
STU1098,19,Male,Computer Science,3,6.84,88.3,2,2,3,2,197,1,0,0,0,1,0,1,100.0,74.8,1
STU1099,20,Female,Mechanical Eng,4,7.98,68.8,0,2,0,1,34,1,0,1,0,1,0,1,62.6,54.4,1
STU1100,19,Male,Computer Science,3,6.19,100.0,1,0,2,9,300,1,0,0,1,0,0,1,82.0,86.0,1
STU1101,21,Female,Computer Science,3,8.6,77.7,0,1,3,1,10,1,1,1,1,1,1,1,97.1,76.2,1
STU1102,20,Male,Civil Eng,4,7.52,90.5,0,0,2,3,49,1,0,0,0,1,0,1,78.9,52.2,1
STU1103,21,Male,Electronics & Comm,4,7.15,66.4,0,1,0,5,23,1,0,1,1,0,0,1,57.0,60.7,1
STU1104,22,Male,Computer Science,4,6.25,54.0,1,1,3,3,78,1,1,1,1,1,0,0,57.7,59.5,1
STU1105,20,Male,Computer Science,3,5.0,63.9,2,2,0,2,116,1,0,0,0,0,1,1,69.7,69.7,0
STU1106,20,Female,Computer Science,4,6.46,50.0,0,1,3,2,165,0,0,1,1,0,0,1,99.6,43.6,1
STU1107,21,Male,Computer Science,4,8.82,99.1,0,2,0,2,179,1,0,1,1,0,0,1,87.9,54.4,1
STU1108,20,Female,Mechanical Eng,4,7.16,80.1,0,2,1,4,23,1,1,0,1,1,1,1,75.5,76.9,1
STU1109,19,Female,Information Technology,4,7.41,68.8,0,1,1,0,20,1,1,1,1,1,0,0,65.1,41.2,1
STU1110,20,Female,Electrical Eng,4,8.32,82.5,1,1,2,5,36,0,1,1,0,0,1,1,73.3,62.0,1
STU1111,20,Male,Mechanical Eng,4,9.59,79.9,0,1,5,2,22,0,1,1,1,0,0,1,70.6,46.6,1
STU1112,22,Male,Information Technology,3,9.06,84.2,0,0,1,4,28,1,0,1,1,0,0,1,70.6,78.7,1
STU1113,21,Female,Computer Science,3,6.53,90.1,0,2,1,0,115,1,1,1,1,0,1,1,55.7,70.1,1
STU1114,21,Male,Electronics & Comm,4,5.46,75.1,1,2,2,4,0,0,0,0,0,0,1,1,55.5,43.0,0
STU1115,22,Male,Mechanical Eng,4,10.0,69.2,1,0,3,0,9,1,1,1,0,0,1,1,72.6,49.4,1
STU1116,21,Female,Electrical Eng,4,10.0,86.3,0,4,2,3,61,0,1,1,0,0,0,1,51.8,65.2,1
STU1117,20,Female,Computer Science,4,7.81,86.0,0,0,2,2,73,1,1,1,1,0,0,1,59.2,30.4,1
STU1118,22,Female,Electronics & Comm,3,6.2,79.0,2,3,2,3,42,1,1,0,1,0,0,1,68.4,48.5,1
STU1119,21,Male,Electronics & Comm,3,8.66,99.8,0,0,1,3,120,1,1,0,1,0,0,1,72.6,52.6,1
STU1120,21,Female,Mechanical Eng,4,7.48,73.6,1,2,2,1,8,0,0,1,0,0,0,1,83.6,84.3,1
STU1121,22,Male,Computer Science,3,7.48,69.0,0,1,2,2,33,1,0,1,1,0,0,1,50.5,56.3,1
STU1122,20,Male,Electronics & Comm,4,8.58,82.2,0,2,3,1,34,0,1,0,0,1,0,1,50.5,74.9,1
STU1123,20,Female,Mechanical Eng,4,7.97,71.3,1,0,4,2,24,1,1,0,0,0,1,1,86.3,57.9,1
STU1124,20,Male,Information Technology,4,6.3,83.0,4,0,3,3,151,1,0,1,1,1,0,1,91.5,76.2,0
STU1125,20,Male,Information Technology,4,7.24,69.7,0,0,2,0,124,1,0,0,1,1,0,1,53.4,41.7,1
STU1126,21,Male,Computer Science,4,8.33,74.0,0,2,2,2,85,1,1,1,1,0,1,1,56.2,54.2,1
STU1127,22,Female,Computer Science,4,8.16,96.9,0,0,1,2,25,1,1,1,1,1,0,1,75.6,63.4,1
STU1128,19,Female,Information Technology,3,7.89,73.9,0,1,3,1,17,0,1,1,1,0,0,1,68.7,67.7,1
STU1129,21,Female,Civil Eng,4,8.63,70.0,0,2,2,6,11,0,1,1,1,0,0,1,68.8,69.9,1
STU1130,20,Female,Computer Science,4,7.2,89.7,1,2,4,2,4,1,1,1,1,0,0,0,57.1,67.9,1
STU1131,20,Male,Information Technology,4,7.8,67.5,0,0,1,1,19,1,1,1,1,0,1,0,78.1,72.6,1
STU1132,20,Male,Electronics & Comm,3,5.0,71.1,2,2,3,0,2,0,0,0,0,0,0,1,64.7,64.8,1
STU1133,20,Male,Computer Science,4,7.11,83.8,0,0,3,2,73,1,1,1,0,0,1,1,64.2,67.6,1
STU1134,22,Male,Information Technology,4,8.44,87.4,0,2,1,1,40,0,1,1,1,0,0,0,52.2,49.8,1
STU1135,20,Male,Electrical Eng,4,7.17,90.2,2,1,3,1,36,1,0,0,0,0,0,0,79.1,40.7,0
STU1136,21,Female,Mechanical Eng,4,7.09,70.5,0,0,4,0,66,1,0,0,0,0,0,1,62.9,48.2,1
STU1137,21,Male,Electronics & Comm,4,6.45,84.0,0,0,4,2,2,0,0,0,0,0,0,1,67.4,39.7,0
STU1138,20,Male,Electronics & Comm,4,8.7,73.3,0,1,3,2,11,1,0,0,0,0,0,1,84.7,68.4,1
STU1139,23,Male,Computer Science,3,8.2,71.9,0,1,0,0,27,1,1,1,0,0,1,1,53.3,79.1,1
STU1140,22,Male,Civil Eng,4,8.51,90.0,0,3,4,2,8,1,0,1,1,1,0,1,66.8,50.8,1
STU1141,20,Female,Computer Science,4,5.7,72.5,1,1,3,6,225,0,1,1,1,0,0,1,46.2,80.1,1
STU1142,21,Male,Electrical Eng,4,7.42,80.8,0,3,1,7,26,0,1,0,1,0,0,1,60.7,71.8,1
STU1143,20,Male,Computer Science,4,7.29,79.6,0,1,1,5,2,0,0,1,1,0,0,1,86.0,56.7,1
STU1144,20,Female,Civil Eng,3,7.29,67.3,1,3,1,4,29,0,0,0,1,0,0,1,46.4,59.8,1
STU1145,19,Male,Electrical Eng,3,6.92,87.7,0,2,0,1,18,1,1,1,0,0,0,0,71.3,81.7,1
STU1146,21,Male,Electrical Eng,4,7.22,83.6,0,2,3,1,17,1,0,1,0,0,1,0,90.4,30.1,1
STU1147,21,Male,Computer Science,4,8.53,58.1,0,0,1,2,0,1,1,0,0,0,1,1,75.7,81.7,1
STU1148,19,Female,Information Technology,4,5.5,80.8,3,1,0,2,153,0,1,1,1,1,0,1,59.8,78.4,0
STU1149,20,Other,Electronics & Comm,4,9.56,70.3,1,0,2,4,23,1,1,1,0,0,0,1,52.4,56.2,1
STU1150,22,Female,Electrical Eng,4,8.13,89.0,0,0,2,1,9,0,0,1,0,0,0,1,41.0,63.6,1
STU1151,20,Male,Computer Science,4,7.55,63.5,0,1,1,2,22,1,1,1,1,0,1,1,89.9,89.4,1
STU1152,20,Female,Civil Eng,4,8.6,74.4,0,1,0,3,7,0,1,0,0,0,0,1,62.1,45.4,1
STU1153,21,Male,Mechanical Eng,4,6.0,81.6,1,0,1,2,2,0,0,0,0,1,0,1,42.8,62.3,0
STU1154,23,Male,Computer Science,4,6.87,78.5,1,1,3,2,27,1,0,1,1,0,0,1,53.7,74.7,1
STU1155,20,Male,Mechanical Eng,4,7.47,85.6,1,1,0,1,10,1,1,1,0,0,1,0,52.9,68.1,0
STU1156,21,Male,Electronics & Comm,4,9.1,62.8,2,0,2,8,22,1,1,1,0,0,0,1,61.1,65.8,1
STU1157,21,Male,Information Technology,4,7.55,94.5,0,1,1,2,13,1,1,1,1,1,1,1,100.0,92.3,1
STU1158,20,Female,Information Technology,4,8.1,83.3,0,1,1,2,175,1,0,0,1,1,0,1,80.9,48.4,1
STU1159,21,Female,Electronics & Comm,4,6.95,91.6,0,0,2,1,51,1,0,1,0,0,1,0,74.8,49.0,1
STU1160,20,Male,Electrical Eng,4,8.14,86.7,0,2,1,2,26,0,1,0,0,0,1,1,84.8,27.3,1
STU1161,21,Male,Information Technology,3,9.44,77.9,0,1,1,1,35,1,1,1,1,1,0,0,93.7,48.8,1
STU1162,21,Male,Electronics & Comm,4,8.7,65.2,1,2,2,1,1,1,0,1,0,1,0,1,75.4,55.0,1
STU1163,21,Male,Electronics & Comm,4,7.51,72.4,0,0,2,1,10,0,1,0,1,0,1,1,88.2,69.8,1
STU1164,19,Female,Electrical Eng,4,8.34,93.9,0,2,3,0,22,0,1,0,1,0,0,0,59.0,79.4,1
STU1165,21,Male,Computer Science,3,8.24,91.9,0,0,0,2,70,1,1,1,0,0,1,1,55.9,50.5,1
STU1166,20,Female,Mechanical Eng,3,8.16,71.8,0,1,4,1,16,0,1,0,0,1,0,1,53.6,62.9,1
STU1167,20,Male,Information Technology,3,8.82,50.0,0,0,3,5,40,0,1,1,1,0,1,1,72.1,85.9,1
STU1168,19,Male,Computer Science,4,8.81,75.9,0,2,3,0,169,1,1,1,1,1,0,1,31.2,62.2,1
STU1169,21,Male,Computer Science,3,7.46,75.1,0,1,1,0,116,1,1,1,0,1,0,1,86.5,72.8,1
STU1170,21,Male,Information Technology,4,8.31,75.5,0,0,3,5,212,1,1,1,0,0,1,1,61.1,81.8,1
STU1171,19,Male,Mechanical Eng,3,7.18,83.3,1,0,1,0,71,1,0,1,0,0,0,0,79.6,51.1,0
STU1172,21,Female,Information Technology,3,6.58,86.8,1,0,1,0,32,1,0,0,1,0,1,1,48.5,48.0,1
STU1173,20,Male,Electrical Eng,3,7.3,87.9,0,0,0,1,3,0,0,0,0,1,0,1,83.6,89.3,1
STU1174,21,Female,Computer Science,3,7.52,82.5,0,1,4,4,90,1,1,1,1,1,0,0,87.4,73.7,1
STU1175,20,Male,Information Technology,4,5.77,60.0,0,1,1,4,16,1,0,1,1,1,0,1,69.4,45.1,1
STU1176,21,Male,Civil Eng,4,8.55,74.6,3,3,4,1,5,1,1,1,0,0,1,1,75.4,49.2,1
STU1177,20,Male,Electrical Eng,4,5.0,100.0,2,3,1,3,16,0,1,1,0,0,1,1,53.6,62.0,1
STU1178,22,Female,Computer Science,3,10.0,81.7,0,1,4,2,69,1,1,1,1,0,1,1,68.6,85.9,1
STU1179,20,Male,Electronics & Comm,3,9.25,81.7,1,0,4,5,12,1,1,0,0,1,1,1,81.6,79.7,1
STU1180,20,Female,Computer Science,4,7.31,81.6,0,1,4,0,73,0,1,1,0,0,1,0,63.8,81.0,1
STU1181,20,Male,Information Technology,4,7.61,82.2,1,1,2,4,127,1,1,1,1,0,1,1,89.4,58.5,1
STU1182,22,Female,Electrical Eng,3,7.93,54.2,0,1,4,1,4,0,0,0,0,0,0,1,43.0,64.9,1
STU1183,22,Male,Electrical Eng,4,6.95,75.6,0,1,5,1,18,1,1,0,1,1,1,0,63.4,53.0,1
STU1184,20,Female,Computer Science,4,7.81,77.6,0,3,2,1,57,1,1,0,0,1,1,1,41.1,58.8,1
STU1185,21,Female,Civil Eng,3,7.44,90.8,1,2,2,3,75,1,0,0,0,0,0,1,72.4,48.2,1
STU1186,21,Female,Electronics & Comm,4,7.5,78.5,1,0,3,3,29,1,1,0,0,1,0,1,65.0,51.9,1
STU1187,21,Male,Information Technology,3,7.8,61.5,0,0,1,2,258,1,1,1,1,0,0,1,65.5,54.1,1
STU1188,21,Male,Electronics & Comm,4,6.16,82.3,1,2,3,3,6,0,1,1,0,0,1,0,78.4,62.8,1
STU1189,20,Male,Electronics & Comm,3,7.64,70.0,0,2,0,3,106,0,1,0,0,0,0,1,64.0,71.3,1
STU1190,19,Female,Electronics & Comm,4,7.78,65.8,3,0,2,3,16,0,0,0,1,1,0,0,100.0,90.0,1
STU1191,22,Male,Information Technology,3,7.74,69.7,0,2,1,1,79,1,1,1,1,0,0,0,79.3,59.5,1
STU1192,22,Female,Electronics & Comm,4,7.36,83.4,1,1,1,2,124,1,1,0,0,1,0,1,68.4,73.8,1
STU1193,21,Male,Computer Science,3,8.85,90.6,0,1,1,1,42,1,0,1,1,1,1,0,58.6,62.3,1
STU1194,20,Male,Electrical Eng,4,7.21,82.8,0,0,3,2,28,0,0,0,1,1,0,1,55.2,79.4,1
STU1195,20,Male,Electronics & Comm,4,7.85,84.3,0,2,1,3,5,0,1,1,0,1,0,0,74.1,46.2,1
STU1196,21,Female,Computer Science,4,9.03,82.7,0,1,3,3,46,1,1,0,1,0,0,1,60.6,57.0,1
STU1197,22,Female,Electrical Eng,4,7.51,79.0,1,0,3,3,77,0,0,0,0,0,1,1,81.9,74.9,1
STU1198,22,Female,Civil Eng,4,7.84,85.0,0,1,2,1,6,0,0,0,1,0,0,1,66.8,73.7,1
STU1199,21,Male,Civil Eng,4,7.49,53.8,0,2,1,3,100,0,1,1,0,0,0,1,66.9,74.0,1
STU1200,21,Female,Information Technology,3,8.96,79.1,0,2,1,1,8,1,1,0,1,0,0,1,69.6,86.1,1
STU1201,19,Female,Computer Science,4,7.32,67.6,0,0,2,6,9,1,1,1,0,1,0,1,65.9,39.0,1
STU1202,20,Male,Electronics & Comm,3,9.01,89.6,2,4,0,1,32,0,1,0,0,1,1,1,71.9,46.2,1
STU1203,22,Female,Computer Science,4,7.49,76.5,0,0,2,2,50,1,1,0,1,0,0,1,97.0,73.4,1
STU1204,21,Female,Civil Eng,3,6.65,78.3,1,1,5,3,10,0,0,0,0,0,0,1,75.6,77.2,1
STU1205,19,Female,Computer Science,4,8.35,62.9,0,1,1,5,39,1,1,1,1,1,0,1,73.9,74.8,1
STU1206,20,Female,Computer Science,4,7.26,88.2,1,1,2,2,2,1,0,1,0,1,0,1,79.0,100.0,1
STU1207,21,Male,Information Technology,4,8.28,84.3,2,1,5,1,59,1,1,0,0,1,0,1,66.5,51.3,1
STU1208,19,Male,Information Technology,4,5.0,83.6,2,2,4,2,300,1,1,0,1,0,1,1,54.5,70.5,1
STU1209,20,Female,Electrical Eng,3,7.61,69.9,1,1,4,1,30,1,1,1,1,1,1,1,25.7,63.9,1
STU1210,21,Male,Information Technology,4,7.09,70.3,0,1,3,3,293,1,1,1,1,0,0,1,39.3,74.3,1
STU1211,21,Female,Computer Science,3,6.43,80.2,2,0,1,6,10,1,1,1,1,1,0,1,78.5,70.6,0
STU1212,21,Female,Computer Science,4,6.99,71.1,1,0,4,0,17,1,1,1,1,0,1,0,73.2,57.2,1
STU1213,20,Female,Electronics & Comm,4,6.97,82.3,0,0,5,2,23,1,1,1,0,0,0,0,65.9,70.8,1
STU1214,21,Other,Computer Science,4,7.55,56.4,0,3,2,5,63,1,0,1,0,0,0,0,100.0,66.3,1
STU1215,20,Male,Electronics & Comm,3,6.1,73.1,3,2,2,0,89,1,0,0,0,1,0,1,67.5,66.9,0
STU1216,20,Male,Electronics & Comm,3,7.95,96.0,1,3,2,2,43,1,1,1,1,1,1,1,34.9,82.0,1
STU1217,21,Male,Electrical Eng,3,9.1,82.4,0,0,2,4,102,1,0,0,0,1,0,0,78.5,100.0,1
STU1218,21,Male,Civil Eng,3,7.91,79.7,0,1,1,5,33,0,0,0,0,0,0,1,84.3,36.3,1
STU1219,21,Male,Mechanical Eng,3,8.49,97.9,0,0,2,2,70,1,1,0,0,1,0,1,78.1,84.3,1
STU1220,21,Male,Civil Eng,4,8.8,54.6,0,2,2,0,21,1,1,1,0,0,0,0,84.5,74.6,1
STU1221,21,Female,Computer Science,3,8.96,69.8,0,1,2,0,51,1,1,1,0,1,0,1,43.3,53.9,1
STU1222,19,Female,Computer Science,4,9.66,74.0,0,0,0,2,5,1,1,1,1,0,0,1,69.3,59.6,1
STU1223,20,Male,Information Technology,4,7.05,86.6,0,1,3,0,77,1,0,0,1,1,1,1,56.4,78.2,1
STU1224,20,Male,Mechanical Eng,4,6.81,86.8,0,0,1,0,12,0,1,0,0,1,0,1,75.3,65.8,1
